	IWA ID	Category	Median Date	Median Data Value	Date Offset
197	4.A.1.a.1.I15	1	2011-07-01	0.86	3986 days 00:00:00.000000000
198	4.A.1.a.1.I15	2	2007-06-01	10.27	2495 days 00:00:00.000000000
199	4.A.1.a.1.I15	2	2011-07-01	2.82	3986 days 00:00:00.000000000
200	4.A.1.a.1.I15	3	2007-06-01	14.94	2495 days 00:00:00.000000000
201	4.A.1.a.1.I15	3	2011-07-01	22.72	3986 days 00:00:00.000000000
202	4.A.1.a.1.I15	4	2007-06-01	17.27	2495 days 00:00:00.000000000
203	4.A.1.a.1.I15	4	2011-07-01	10.3	3986 days 00:00:00.000000000
204	4.A.1.a.1.I15	5	2007-06-01	20.21	2495 days 00:00:00.000000000
205	4.A.1.a.1.I15	5	2011-07-01	23.05	3986 days 00:00:00.000000000
206	4.A.1.a.1.I15	6	2007-06-01	5.15	2495 days 00:00:00.000000000
207	4.A.1.a.1.I15	6	2011-07-01	5.13	3986 days 00:00:00.000000000
208	4.A.1.a.1.I15	7	2007-06-01	3.39	2495 days 00:00:00.000000000
209	4.A.1.a.1.I15	7	2011-07-01	3.8	3986 days 00:00:00.000000000
210	4.A.1.a.1.I16	1	2007-06-01	7.14	2495 days 00:00:00.000000000
211	4.A.1.a.1.I16	1	2012-07-01	15.11	4352 days 00:00:00.000000000
212	4.A.1.a.1.I16	2	2007-06-01	25.0	2495 days 00:00:00.000000000
213	4.A.1.a.1.I16	2	2012-07-01	19.58	4352 days 00:00:00.000000000
214	4.A.1.a.1.I16	3	2007-06-01	17.86	2495 days 00:00:00.000000000
215	4.A.1.a.1.I16	3	2012-07-01	16.67	4352 days 00:00:00.000000000
216	4.A.1.a.1.I16	4	2007-06-01	15.53	2495 days 00:00:00.000000000
217	4.A.1.a.1.I16	4	2012-07-01	17.97	4352 days 00:00:00.000000000
218	4.A.1.a.1.I16	5	2007-06-01	17.49	2495 days 00:00:00.000000000
219	4.A.1.a.1.I16	5	2012-07-01	18.68	4352 days 00:00:00.000000000
220	4.A.1.a.1.I16	6	2007-06-01	4.6	2495 days 00:00:00.000000000
221	4.A.1.a.1.I16	6	2012-07-01	2.86	4352 days 00:00:00.000000000
222	4.A.1.a.1.I16	7	2007-06-01	0.45	2495 days 00:00:00.000000000
223	4.A.1.a.1.I16	7	2012-07-01	0.0	4352 days 00:00:00.000000000
224	4.A.1.a.1.I17	1	2006-12-01	8.2	2313 days 00:00:00.000000000
225	4.A.1.a.1.I17	1	2014-07-01	11.83	5082 days 00:00:00.000000000
226	4.A.1.a.1.I17	2	2006-12-01	2.77	2313 days 00:00:00.000000000
227	4.A.1.a.1.I17	2	2014-07-01	23.53	5082 days 00:00:00.000000000
228	4.A.1.a.1.I17	3	2006-12-01	5.28	2313 days 00:00:00.000000000
229	4.A.1.a.1.I17	3	2014-07-01	12.405000000000001	5082 days 00:00:00.000000000
230	4.A.1.a.1.I17	4	2006-12-01	9.71	2313 days 00:00:00.000000000
231	4.A.1.a.1.I17	4	2014-07-01	3.8449999999999998	5082 days 00:00:00.000000000
232	4.A.1.a.1.I17	5	2006-12-01	20.32	2313 days 00:00:00.000000000
233	4.A.1.a.1.I17	5	2014-07-01	17.59	5082 days 00:00:00.000000000
234	4.A.1.a.1.I17	6	2006-12-01	12.98	2313 days 00:00:00.000000000
235	4.A.1.a.1.I17	6	2014-07-01	7.48	5082 days 00:00:00.000000000
236	4.A.1.a.1.I17	7	2006-12-01	6.11	2313 days 00:00:00.000000000
237	4.A.1.a.1.I17	7	2014-07-01	0.0	5082 days 00:00:00.000000000
238	4.A.1.a.1.I18	1	2005-07-01	4.15	1795 days 00:00:00.000000000
239	4.A.1.a.1.I18	1	2012-07-01	9.52	4352 days 00:00:00.000000000
240	4.A.1.a.1.I18	2	2005-07-01	26.32	1795 days 00:00:00.000000000
241	4.A.1.a.1.I18	2	2012-07-01	24.08	4352 days 00:00:00.000000000
242	4.A.1.a.1.I18	3	2005-07-01	20.0	1795 days 00:00:00.000000000
243	4.A.1.a.1.I18	3	2012-07-01	20.0	4352 days 00:00:00.000000000
